Collection Report
Date From 2024-05-23 To 2024-05-23
Society ID - 12

Date,Time,Channel,Shift,Farmer ID,Fat (%),SNF (%),CLR,Water (%),Rate,Quantity (L),Total Amount,Incentive
2024-05-23,10:41 AM,CH1,MR,500,1.81,4.04,12.70,52.00,10.00,0.00,0.00,0.00
2024-05-23,10:41 AM,CH1,MR,500,1.81,4.04,12.70,52.00,10.00,0.00,0.00,0.00
2024-05-23,10:41 AM,CH1,MR,500,1.81,4.04,12.70,52.00,10.00,0.00,0.00,0.00
2024-05-23,10:44 AM,CH1,MR,500,0.00,3.49,11.90,58.00,0.00,0.00,0.00,0.00
2024-05-23,10:47 AM,CH1,MR,500,0.00,3.91,13.60,53.00,0.00,0.00,0.00,0.00
2024-05-30,11:49 AM,CH1,MR,500,1.77,0.00,0.00,99.00,0.00,0.00,0.00,0.00
2024-05-30,11:51 AM,CH1,MR,500,4.00,5.45,17.6,38.00,0.00,0.00,0.00,0.00
2024-05-30,11:53 AM,CH1,MR,500,3.61,5.14,16.6,42.00,0.00,0.00,0.00,0.00
2024-05-30,11:59 AM,CH1,MR,500,3.12,4.69,15.30,47.00,0.00,0.00,0.00,0.00
2024-05-30,12:22 PM,CH3,MR,500,2.15,3.87,11.70,54.00,0.00,0.00,0.00,0.00
2024-05-30,12:24 PM,CH1,MR,500,2.91,4.51,14.70,49.00,0.00,0.00,0.00,0.00
2024-05-30,12:30 PM,CH1,MR,500,2.79,4.44,14.50,50.00,0.00,0.00,0.00,0.00
2024-05-30,12:36 PM,CH1,MR,500,2.46,4.16,13.70,53.00,0.00,0.00,0.00,0.00
2024-05-23,10:41 AM,CH1,MR,500,1.81,4.04,12.70,52.00,10.00,0.00,0.00,0.00
2024-05-23,10:41 AM,CH1,MR,500,1.81,4.04,12.70,52.00,10.00,0.00,0.00,0.00
2024-06-03,10:35 AM,CH1,MR,500,3.45,5.1,16.6,42.00,0.00,0.00,0.00,0.00
2024-06-03,10:43 AM,CH1,MR,500,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00
2024-06-03,10:44 AM,CH1,MR,500,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00
2024-06-03,11:04 AM,CH1,MR,500,0.90,0.00,0.00,99.00,0.00,0.00,0.00,0.00
2024-06-03,11:08 AM,CH1,MR,500,0.57,0.00,0.00,99.00,0.00,0.00,0.00,0.00
2024-06-03,11:28 AM,CH1,MR,500,4.50,6.00,19.4,32.00,0.00,0.00,0.00,0.00
2024-06-03,11:33 AM,CH1,MR,500,1.75,3.65,12.20,59.00,0.00,0.00,0.00,0.00
2024-06-03,11:34 AM,CH1,MR,10000,0.00,0.00,0.00,99.00,0.00,1000.00,0.00,0.00
2024-06-03,11:40 AM,CH1,MR,10000,0.52,0.00,0.00,99.00,0.00,10.00,0.00,0.00
2024-06-03,11:42 AM,CH1,MR,10000,1.17,3.12,10.50,66.00,0.00,1000.00,0.00,0.00
2024-06-03,11:43 AM,CH1,MR,2000,0.87,0.00,0.00,99.00,100.00,1000.00,100000.00,0.00
2024-06-03,11:44 AM,CH1,MR,10,1.84,0.00,0.00,99.00,1.00,100.00,110.00,0.10
2024-06-03,11:45 AM,CH1,MR,300,0.00,0.00,0.00,99.00,0.00,40.00,0.00,3.00
2024-06-03,11:46 AM,CH3,MR,12000,0.00,0.00,0.00,99.00,0.00,1.00,0.00,0.00
