Admin Report
Date From 2024-03-12 To 2024-03-13

Date,Time,Channel,Shift,Society ID,Farmer ID,Fat (%),SNF (%),CLR,Water (%),Rate,Quantity (L),Total Amount,Incentive
2024-03-12,4:31 PM,CH1,EV,22,100,6.13,8.67,27.80,0.00,37.00,10.00,380.00,1.00
2024-03-13,11:37 AM,CH1,MR,22,10,6.46,9.03,28.90,0.00,38.72,1000.00,38820.00,0.10
2024-03-13,11:41 AM,CH1,MR,22,1000,6.42,9.00,28.80,0.00,38.55,10.00,385.50,0.00
2024-03-13,11:43 AM,CH1,MR,22,2000,6.45,9.04,29.00,0.00,38.72,100.00,3872.00,0.00
2024-03-13,11:44 AM,CH2,MR,22,100,7.73,11.75,41.60,2.00,48.70,1000.00,49700.00,1.00
2024-03-13,11:46 AM,CH2,MR,22,200,7.78,11.83,41.90,2.00,49.03,10.00,510.30,2.00
2024-03-13,11:47 AM,CH2,MR,22,20000,7.78,11.83,41.90,2.00,49.03,10.00,490.30,0.00
2024-03-13,11:49 AM,CH2,MR,22,100,7.79,11.84,41.90,2.00,49.08,10.00,500.80,1.00
2024-03-13,11:50 AM,CH3,MR,22,2011,8.12,11.16,39.8,2.00,48.20,400.00,19280.00,0.00
2024-03-13,11:55 AM,CH3,MR,22,40020,8.01,10.99,39.2,2.00,47.50,50.00,2375.00,0.00
2024-03-13,11:57 AM,CH3,MR,22,200,8.01,10.98,39.2,2.00,47.48,30.00,1484.40,2.00
2024-03-13,12:00 PM,CH3,MR,22,10,8.03,11.02,39.3,2.00,47.63,30.00,1431.90,0.10
2024-03-13,12:04 PM,CH3,MR,22,50,7.99,10.95,39.10,2.00,47.35,31.00,1483.35,0.50
2024-03-13,12:05 PM,CH3,MR,22,200,8.09,11.11,39.60,2.00,48.00,10.00,500.00,2.00
2024-03-13,12:06 PM,CH3,MR,22,20000,8.10,11.14,39.8,2.00,48.13,10.00,481.30,0.00
2024-03-13,12:10 PM,CH3,MR,22,111,8.04,11.03,39.40,2.00,47.68,0.10,4.88,1.11
2024-03-13,12:21 PM,CH3,MR,22,300,7.90,10.79,38.50,2.00,46.73,20.00,994.60,3.00
2024-03-13,12:23 PM,CH1,MR,22,600,6.54,9.16,29.40,0.00,39.25,1.00,39.25,0.00
2024-03-13,12:28 PM,CH1,MR,22,10,6.51,9.10,29.20,0.00,39.03,200.00,7826.00,0.10
2024-03-13,12:30 PM,CH1,MR,22,700,6.58,9.22,29.60,0.00,39.50,40.00,1580.00,0.00
2024-03-13,12:31 PM,CH1,MR,22,20,6.63,9.3,29.80,0.00,39.83,300.00,12009.00,0.20
2024-03-13,12:40 PM,CH1,MR,22,404468,6.49,9.06,29.00,0.00,38.88,10.00,388.80,0.00
2024-03-13,12:41 PM,CH1,MR,22,404468,6.58,9.22,29.60,0.00,39.50,10.00,395.00,0.00

Thank you
Poornasree Equipments
